Group,District,DistName,County,CntyName,Region,RegnName,Math,Reading,Writing,Total,Grads_Mskd,Exnees_Mskd,Part_Rate,Crit_Mskd,Above_Crit_Rate,Year,ERW,TSI_Both_Mskd,Above_TSI_Both_Rate
Hispanic,57807,Life School,57,Dallas County,10,Richardson,472.0,,,958.0,<100,<50,45.8,<25,2.3,2018,486.0,<25,13.6
Pacific Islander,57807,Life School,57,Dallas County,10,Richardson,,,,,<25,<25,100.0,<25,,2018,,<25,
White,57807,Life School,57,Dallas County,10,Richardson,485.0,,,1003.0,<75,<50,52.8,<25,10.5,2018,518.0,<25,34.2
Multiracial,57807,Life School,57,Dallas County,10,Richardson,494.0,,,1016.0,<25,<25,55.6,<25,20.0,2018,522.0,<25,20.0
Missing Ethnicity,57807,Life School,57,Dallas County,10,Richardson,,,,,0,0,,0,,2018,,0,
Economically Disadvantaged,57807,Life School,57,Dallas County,10,Richardson,453.0,,,931.0,<175,<100,48.8,<25,3.7,2018,478.0,<25,12.3
Not Economically Disadvantaged,57807,Life School,57,Dallas County,10,Richardson,481.0,,,983.0,144,89,61.8,8,9.0,2018,502.0,19,21.3
Missing Econ,57807,Life School,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2018,,<25,100.0
Female,57807,Life School,57,Dallas County,10,Richardson,469.0,,,961.0,166,103,62.0,6,5.8,2018,492.0,19,18.4
Male,57807,Life School,57,Dallas County,10,Richardson,468.0,,,956.0,<150,<75,47.2,<25,7.4,2018,488.0,<25,16.2
Missing Gender,57807,Life School,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2018,,<25,
Bil/ESL,57807,Life School,57,Dallas County,10,Richardson,,,,,<25,<25,7.1,<25,,2018,,<25,
Not Bil/ESL,57807,Life School,57,Dallas County,10,Richardson,468.0,,,960.0,<300,<175,57.1,<25,6.5,2018,491.0,<50,17.2
Missing Bil/ESL,57807,Life School,57,Dallas County,10,Richardson,,,,,0,1,,0,,2018,,1,100.0
CTE,57807,Life School,57,Dallas County,10,Richardson,456.0,,,931.0,<250,<125,53.2,<25,3.3,2018,475.0,<25,9.8
Not CTE,57807,Life School,57,Dallas County,10,Richardson,497.0,,,1028.0,79,47,59.5,7,14.9,2018,531.0,17,36.2
Missing CTE,57807,Life School,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2018,,<25,100.0
Gifted,57807,Life School,57,Dallas County,10,Richardson,574.0,,,1156.0,<25,<25,72.7,<25,25.0,2018,583.0,<25,87.5
Not Gifted,57807,Life School,57,Dallas County,10,Richardson,462.0,,,948.0,299,162,54.2,9,5.6,2018,486.0,22,13.6
Missing Gifted,57807,Life School,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2018,,<25,100.0
Special Ed,57807,Life School,57,Dallas County,10,Richardson,446.0,,,901.0,<50,<25,24.1,<25,,2018,456.0,<25,
Not Special Ed,57807,Life School,57,Dallas County,10,Richardson,468.0,,,960.0,<300,<175,58.0,<25,6.7,2018,492.0,<50,17.8
Missing Special Ed,57807,Life School,57,Dallas County,10,Richardson,,,,,0,1,,0,,2018,,1,100.0
Title1,57807,Life School,57,Dallas County,10,Richardson,467.0,,,958.0,<325,<175,54.8,<25,6.5,2018,491.0,<50,17.1
Not Title1,57807,Life School,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2018,,<25,
Missing Title1,57807,Life School,57,Dallas County,10,Richardson,,,,,0,1,,0,,2018,,1,100.0
At-Risk,57807,Life School,57,Dallas County,10,Richardson,414.0,,,852.0,<75,<25,28.6,<25,,2018,438.0,<25,
Not At-Risk,57807,Life School,57,Dallas County,10,Richardson,475.0,,,972.0,<250,<175,62.5,<25,7.3,2018,498.0,<50,19.3
Missing At-Risk,57807,Life School,57,Dallas County,10,Richardson,,,,,0,1,,0,,2018,,1,100.0
English Learner,57807,Life School,57,Dallas County,10,Richardson,,,,,<25,<25,7.1,<25,,2018,,<25,
Not English Learner,57807,Life School,57,Dallas County,10,Richardson,468.0,,,960.0,<300,<175,57.1,<25,6.5,2018,491.0,<50,17.2
Missing English Learner,57807,Life School,57,Dallas County,10,Richardson,,,,,0,1,,0,,2018,,1,100.0
Immigrant,57807,Life School,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2018,,<25,
Not Immigrant,57807,Life School,57,Dallas County,10,Richardson,467.0,,,958.0,<325,<175,54.8,<25,6.5,2018,491.0,<50,17.1
Missing Immigrant,57807,Life School,57,Dallas County,10,Richardson,,,,,0,1,,0,,2018,,1,100.0
Migrant,57807,Life School,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2018,,<25,
Not Migrant,57807,Life School,57,Dallas County,10,Richardson,467.0,,,958.0,<325,<175,54.8,<25,6.5,2018,491.0,<50,17.1
Missing Migrant,57807,Life School,57,Dallas County,10,Richardson,,,,,0,1,,0,,2018,,1,100.0
Dyslexia,57807,Life School,57,Dallas County,10,Richardson,395.0,,,815.0,<25,<25,33.3,<25,,2018,420.0,<25,
Not Dyslexia,57807,Life School,57,Dallas County,10,Richardson,468.0,,,960.0,<325,<175,55.3,<25,6.5,2018,491.0,<50,17.3
Missing Dyslexia,57807,Life School,57,Dallas County,10,Richardson,,,,,0,1,,0,,2018,,1,100.0
Homeless,57807,Life School,57,Dallas County,10,Richardson,425.0,,,940.0,<25,<25,100.0,<25,,2018,515.0,<25,
Not Homeless,57807,Life School,57,Dallas County,10,Richardson,468.0,,,958.0,<325,<175,54.5,<25,6.5,2018,490.0,<50,17.3
Missing Homeless,57807,Life School,57,Dallas County,10,Richardson,,,,,0,1,,0,,2018,,1,100.0
Foster Care,57807,Life School,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2018,,<25,
Not Foster Care,57807,Life School,57,Dallas County,10,Richardson,467.0,,,958.0,<325,<175,55.0,<25,6.5,2018,491.0,<50,17.1
Missing Foster Care,57807,Life School,57,Dallas County,10,Richardson,,,,,0,1,,0,,2018,,1,100.0
Military-Connected,57807,Life School,57,Dallas County,10,Richardson,507.0,,,1014.0,<25,<25,70.0,<25,14.3,2018,507.0,<25,28.6
Not Military-Connected,57807,Life School,57,Dallas County,10,Richardson,466.0,,,956.0,<325,<175,54.3,<25,6.1,2018,490.0,<50,16.6
Missing Military-Connected,57807,Life School,57,Dallas County,10,Richardson,,,,,0,1,,0,,2018,,1,100.0
All Students,57808,Universal Academy,57,Dallas County,10,Richardson,485.0,,,992.0,<25,<25,100.0,<25,15.4,2018,507.0,<25,38.5
African American,57808,Universal Academy,57,Dallas County,10,Richardson,428.0,,,913.0,<25,<25,80.0,<25,,2018,485.0,<25,25.0
American Indian,57808,Universal Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2018,,<25,
Asian,57808,Universal Academy,57,Dallas County,10,Richardson,530.0,,,1048.0,<25,<25,100.0,<25,20.0,2018,518.0,<25,60.0
Hispanic,57808,Universal Academy,57,Dallas County,10,Richardson,443.0,,,933.0,<25,<25,100.0,<25,,2018,490.0,<25,
Pacific Islander,57808,Universal Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2018,,<25,
White,57808,Universal Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,100.0,2018,,<25,100.0
Multiracial,57808,Universal Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2018,,<25,
Missing Ethnicity,57808,Universal Academy,57,Dallas County,10,Richardson,,,,,0,0,,0,,2018,,0,
Economically Disadvantaged,57808,Universal Academy,57,Dallas County,10,Richardson,460.0,,,917.0,<25,<25,100.0,<25,,2018,457.0,<25,33.3
Not Economically Disadvantaged,57808,Universal Academy,57,Dallas County,10,Richardson,479.0,,,993.0,<25,<25,90.0,<25,11.1,2018,514.0,<25,33.3
Missing Econ,57808,Universal Academy,57,Dallas County,10,Richardson,,,,,0,1,,1,100.0,2018,,1,100.0
Female,57808,Universal Academy,57,Dallas County,10,Richardson,487.0,,,1013.0,<25,<25,100.0,<25,14.3,2018,526.0,<25,42.9
Male,57808,Universal Academy,57,Dallas County,10,Richardson,482.0,,,967.0,<25,<25,100.0,<25,16.7,2018,485.0,<25,33.3
Missing Gender,57808,Universal Academy,57,Dallas County,10,Richardson,,,,,0,0,,0,,2018,,0,
Bil/ESL,57808,Universal Academy,57,Dallas County,10,Richardson,,,,,<25,<25,33.3,<25,,2018,,<25,
Not Bil/ESL,57808,Universal Academy,57,Dallas County,10,Richardson,482.0,,,992.0,<25,<25,100.0,<25,9.1,2018,510.0,<25,36.4
Missing Bil/ESL,57808,Universal Academy,57,Dallas County,10,Richardson,,,,,0,1,,1,100.0,2018,,1,100.0
CTE,57808,Universal Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2018,,<25,
Not CTE,57808,Universal Academy,57,Dallas County,10,Richardson,474.0,,,974.0,<25,<25,92.3,<25,8.3,2018,500.0,<25,33.3
Missing CTE,57808,Universal Academy,57,Dallas County,10,Richardson,,,,,0,1,,1,100.0,2018,,1,100.0
Gifted,57808,Universal Academy,57,Dallas County,10,Richardson,565.0,,,1145.0,<25,<25,100.0,<25,50.0,2018,580.0,<25,100.0
Not Gifted,57808,Universal Academy,57,Dallas County,10,Richardson,456.0,,,940.0,<25,<25,90.9,<25,,2018,484.0,<25,20.0
Missing Gifted,57808,Universal Academy,57,Dallas County,10,Richardson,,,,,0,1,,1,100.0,2018,,1,100.0
Special Ed,57808,Universal Academy,57,Dallas County,10,Richardson,,,,,<25,<25,50.0,<25,,2018,,<25,
Not Special Ed,57808,Universal Academy,57,Dallas County,10,Richardson,487.0,,,995.0,<25,<25,100.0,<25,9.1,2018,507.0,<25,36.4
Missing Special Ed,57808,Universal Academy,57,Dallas County,10,Richardson,,,,,0,1,,1,100.0,2018,,1,100.0
Title1,57808,Universal Academy,57,Dallas County,10,Richardson,453.0,,,937.0,<25,<25,87.5,<25,,2018,484.0,<25,28.6
Not Title1,57808,Universal Academy,57,Dallas County,10,Richardson,504.0,,,1026.0,<25,<25,100.0,<25,20.0,2018,522.0,<25,40.0
Missing Title1,57808,Universal Academy,57,Dallas County,10,Richardson,,,,,0,1,,1,100.0,2018,,1,100.0
At-Risk,57808,Universal Academy,57,Dallas County,10,Richardson,460.0,,,917.0,<25,<25,100.0,<25,,2018,457.0,<25,33.3
Not At-Risk,57808,Universal Academy,57,Dallas County,10,Richardson,479.0,,,993.0,<25,<25,90.0,<25,11.1,2018,514.0,<25,33.3
Missing At-Risk,57808,Universal Academy,57,Dallas County,10,Richardson,,,,,0,1,,1,100.0,2018,,1,100.0
English Learner,57808,Universal Academy,57,Dallas County,10,Richardson,,,,,<25,<25,100.0,<25,,2018,,<25,
Not English Learner,57808,Universal Academy,57,Dallas County,10,Richardson,482.0,,,992.0,<25,<25,91.7,<25,9.1,2018,510.0,<25,36.4
Missing English Learner,57808,Universal Academy,57,Dallas County,10,Richardson,,,,,0,1,,1,100.0,2018,,1,100.0
Immigrant,57808,Universal Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2018,,<25,
Not Immigrant,57808,Universal Academy,57,Dallas County,10,Richardson,474.0,,,974.0,<25,<25,92.3,<25,8.3,2018,500.0,<25,33.3
Missing Immigrant,57808,Universal Academy,57,Dallas County,10,Richardson,,,,,0,1,,1,100.0,2018,,1,100.0
Migrant,57808,Universal Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2018,,<25,
Not Migrant,57808,Universal Academy,57,Dallas County,10,Richardson,474.0,,,974.0,<25,<25,92.3,<25,8.3,2018,500.0,<25,33.3
Missing Migrant,57808,Universal Academy,57,Dallas County,10,Richardson,,,,,0,1,,1,100.0,2018,,1,100.0
Dyslexia,57808,Universal Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2018,,<25,
Not Dyslexia,57808,Universal Academy,57,Dallas County,10,Richardson,474.0,,,974.0,<25,<25,92.3,<25,8.3,2018,500.0,<25,33.3
Missing Dyslexia,57808,Universal Academy,57,Dallas County,10,Richardson,,,,,0,1,,1,100.0,2018,,1,100.0
Homeless,57808,Universal Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2018,,<25,
Not Homeless,57808,Universal Academy,57,Dallas County,10,Richardson,474.0,,,974.0,<25,<25,100.0,<25,8.3,2018,500.0,<25,33.3
Missing Homeless,57808,Universal Academy,57,Dallas County,10,Richardson,,,,,1,1,,1,100.0,2018,,1,100.0
Foster Care,57808,Universal Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2018,,<25,
Not Foster Care,57808,Universal Academy,57,Dallas County,10,Richardson,474.0,,,974.0,<25,<25,92.3,<25,8.3,2018,500.0,<25,33.3
Missing Foster Care,57808,Universal Academy,57,Dallas County,10,Richardson,,,,,0,1,,1,100.0,2018,,1,100.0
Military-Connected,57808,Universal Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2018,,<25,
Not Military-Connected,57808,Universal Academy,57,Dallas County,10,Richardson,474.0,,,974.0,<25,<25,92.3,<25,8.3,2018,500.0,<25,33.3
Missing Military-Connected,57808,Universal Academy,57,Dallas County,10,Richardson,,,,,0,1,,1,100.0,2018,,1,100.0
All Students,57817,Focus Learning Academy,57,Dallas County,10,Richardson,443.0,,,870.0,<25,<25,,<25,,2018,428.0,<25,8.3
African American,57817,Focus Learning Academy,57,Dallas County,10,Richardson,443.0,,,870.0,<25,<25,,<25,,2018,428.0,<25,8.3
American Indian,57817,Focus Learning Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2018,,<25,
Asian,57817,Focus Learning Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2018,,<25,
Hispanic,57817,Focus Learning Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2018,,<25,
Pacific Islander,57817,Focus Learning Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2018,,<25,
White,57817,Focus Learning Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2018,,<25,
Multiracial,57817,Focus Learning Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2018,,<25,
Missing Ethnicity,57817,Focus Learning Academy,57,Dallas County,10,Richardson,,,,,0,0,,0,,2018,,0,
Economically Disadvantaged,57817,Focus Learning Academy,57,Dallas County,10,Richardson,443.0,,,870.0,<25,<25,,<25,,2018,428.0,<25,8.3
Not Economically Disadvantaged,57817,Focus Learning Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2018,,<25,
Missing Econ,57817,Focus Learning Academy,57,Dallas County,10,Richardson,,,,,0,0,,0,,2018,,0,
Female,57817,Focus Learning Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2018,,<25,
Male,57817,Focus Learning Academy,57,Dallas County,10,Richardson,440.0,,,860.0,<25,<25,,<25,,2018,420.0,<25,9.1
Missing Gender,57817,Focus Learning Academy,57,Dallas County,10,Richardson,,,,,0,0,,0,,2018,,0,
Bil/ESL,57817,Focus Learning Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2018,,<25,
Not Bil/ESL,57817,Focus Learning Academy,57,Dallas County,10,Richardson,443.0,,,870.0,<25,<25,,<25,,2018,428.0,<25,8.3
Missing Bil/ESL,57817,Focus Learning Academy,57,Dallas County,10,Richardson,,,,,0,0,,0,,2018,,0,
CTE,57817,Focus Learning Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2018,,<25,
Not CTE,57817,Focus Learning Academy,57,Dallas County,10,Richardson,443.0,,,870.0,<25,<25,,<25,,2018,428.0,<25,8.3
Missing CTE,57817,Focus Learning Academy,57,Dallas County,10,Richardson,,,,,0,0,,0,,2018,,0,
Gifted,57817,Focus Learning Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2018,,<25,
Not Gifted,57817,Focus Learning Academy,57,Dallas County,10,Richardson,443.0,,,870.0,<25,<25,,<25,,2018,428.0,<25,8.3
Missing Gifted,57817,Focus Learning Academy,57,Dallas County,10,Richardson,,,,,0,0,,0,,2018,,0,
Special Ed,57817,Focus Learning Academy,57,Dallas County,10,Richardson,415.0,,,740.0,<25,<25,,<25,,2018,325.0,<25,
Not Special Ed,57817,Focus Learning Academy,57,Dallas County,10,Richardson,448.0,,,896.0,<25,<25,,<25,,2018,448.0,<25,10.0
Missing Special Ed,57817,Focus Learning Academy,57,Dallas County,10,Richardson,,,,,0,0,,0,,2018,,0,
Title1,57817,Focus Learning Academy,57,Dallas County,10,Richardson,443.0,,,870.0,<25,<25,,<25,,2018,428.0,<25,8.3
Not Title1,57817,Focus Learning Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2018,,<25,
Missing Title1,57817,Focus Learning Academy,57,Dallas County,10,Richardson,,,,,0,0,,0,,2018,,0,
At-Risk,57817,Focus Learning Academy,57,Dallas County,10,Richardson,433.0,,,858.0,<25,<25,,<25,,2018,425.0,<25,
Not At-Risk,57817,Focus Learning Academy,57,Dallas County,10,Richardson,448.0,,,876.0,<25,<25,,<25,,2018,429.0,<25,12.5
Missing At-Risk,57817,Focus Learning Academy,57,Dallas County,10,Richardson,,,,,0,0,,0,,2018,,0,
English Learner,57817,Focus Learning Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2018,,<25,
Not English Learner,57817,Focus Learning Academy,57,Dallas County,10,Richardson,443.0,,,870.0,<25,<25,,<25,,2018,428.0,<25,8.3
Missing English Learner,57817,Focus Learning Academy,57,Dallas County,10,Richardson,,,,,0,0,,0,,2018,,0,
Immigrant,57817,Focus Learning Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2018,,<25,
Not Immigrant,57817,Focus Learning Academy,57,Dallas County,10,Richardson,443.0,,,870.0,<25,<25,,<25,,2018,428.0,<25,8.3
Missing Immigrant,57817,Focus Learning Academy,57,Dallas County,10,Richardson,,,,,0,0,,0,,2018,,0,
Migrant,57817,Focus Learning Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2018,,<25,
Not Migrant,57817,Focus Learning Academy,57,Dallas County,10,Richardson,443.0,,,870.0,<25,<25,,<25,,2018,428.0,<25,8.3
Missing Migrant,57817,Focus Learning Academy,57,Dallas County,10,Richardson,,,,,0,0,,0,,2018,,0,
Dyslexia,57817,Focus Learning Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2018,,<25,
Not Dyslexia,57817,Focus Learning Academy,57,Dallas County,10,Richardson,443.0,,,870.0,<25,<25,,<25,,2018,428.0,<25,8.3
Missing Dyslexia,57817,Focus Learning Academy,57,Dallas County,10,Richardson,,,,,0,0,,0,,2018,,0,
Homeless,57817,Focus Learning Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2018,,<25,
Not Homeless,57817,Focus Learning Academy,57,Dallas County,10,Richardson,443.0,,,870.0,<25,<25,,<25,,2018,428.0,<25,8.3
Missing Homeless,57817,Focus Learning Academy,57,Dallas County,10,Richardson,,,,,0,0,,0,,2018,,0,
Foster Care,57817,Focus Learning Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2018,,<25,
Not Foster Care,57817,Focus Learning Academy,57,Dallas County,10,Richardson,443.0,,,870.0,<25,<25,,<25,,2018,428.0,<25,8.3
Missing Foster Care,57817,Focus Learning Academy,57,Dallas County,10,Richardson,,,,,0,0,,0,,2018,,0,
Military-Connected,57817,Focus Learning Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2018,,<25,
Not Military-Connected,57817,Focus Learning Academy,57,Dallas County,10,Richardson,443.0,,,870.0,<25,<25,,<25,,2018,428.0,<25,8.3
Missing Military-Connected,57817,Focus Learning Academy,57,Dallas County,10,Richardson,,,,,0,0,,0,,2018,,0,
All Students,57828,Winfree Academy Charter Schools,57,Dallas County,10,Richardson,486.0,,,1009.0,<375,<25,6.8,<25,4.2,2018,523.0,<25,29.2
African American,57828,Winfree Academy Charter Schools,57,Dallas County,10,Richardson,473.0,,,954.0,<100,<25,10.3,<25,,2018,481.0,<25,25.0
American Indian,57828,Winfree Academy Charter Schools,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2018,,<25,
Asian,57828,Winfree Academy Charter Schools,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2018,,<25,
Hispanic,57828,Winfree Academy Charter Schools,57,Dallas County,10,Richardson,463.0,,,962.0,<150,<25,4.4,<25,,2018,498.0,<25,33.3
Pacific Islander,57828,Winfree Academy Charter Schools,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2018,,<25,
White,57828,Winfree Academy Charter Schools,57,Dallas County,10,Richardson,510.0,,,1082.0,<125,<25,9.0,<25,10.0,2018,572.0,<25,30.0
Multiracial,57828,Winfree Academy Charter Schools,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2018,,<25,
Missing Ethnicity,57828,Winfree Academy Charter Schools,57,Dallas County,10,Richardson,,,,,0,0,,0,,2018,,0,
Economically Disadvantaged,57828,Winfree Academy Charter Schools,57,Dallas County,10,Richardson,497.0,,,1016.0,<175,<25,6.7,<25,9.1,2018,519.0,<25,27.3
Not Economically Disadvantaged,57828,Winfree Academy Charter Schools,57,Dallas County,10,Richardson,476.0,,,1003.0,<175,<25,7.6,<25,,2018,527.0,<25,30.8
Missing Econ,57828,Winfree Academy Charter Schools,57,Dallas County,10,Richardson,,,,,16,0,,0,,2018,,0,
Female,57828,Winfree Academy Charter Schools,57,Dallas County,10,Richardson,492.0,,,1015.0,<250,<25,8.3,<25,,2018,523.0,<25,26.3
Male,57828,Winfree Academy Charter Schools,57,Dallas County,10,Richardson,464.0,,,988.0,<125,<25,4.1,<25,20.0,2018,524.0,<25,40.0
Missing Gender,57828,Winfree Academy Charter Schools,57,Dallas County,10,Richardson,,,,,0,0,,0,,2018,,0,
Bil/ESL,57828,Winfree Academy Charter Schools,57,Dallas County,10,Richardson,,,,,<50,<25,,<25,,2018,,<25,
Not Bil/ESL,57828,Winfree Academy Charter Schools,57,Dallas County,10,Richardson,486.0,,,1009.0,<325,<25,7.8,<25,4.2,2018,523.0,<25,29.2
Missing Bil/ESL,57828,Winfree Academy Charter Schools,57,Dallas County,10,Richardson,,,,,16,0,,0,,2018,,0,
CTE,57828,Winfree Academy Charter Schools,57,Dallas County,10,Richardson,488.0,,,1017.0,<200,<25,8.1,<25,,2018,529.0,<25,25.0
Not CTE,57828,Winfree Academy Charter Schools,57,Dallas County,10,Richardson,483.0,,,994.0,<150,<25,5.8,<25,12.5,2018,511.0,<25,37.5
Missing CTE,57828,Winfree Academy Charter Schools,57,Dallas County,10,Richardson,,,,,16,0,,0,,2018,,0,
Gifted,57828,Winfree Academy Charter Schools,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2018,,<25,
Not Gifted,57828,Winfree Academy Charter Schools,57,Dallas County,10,Richardson,486.0,,,1009.0,<350,<25,7.2,<25,4.2,2018,523.0,<25,29.2
Missing Gifted,57828,Winfree Academy Charter Schools,57,Dallas County,10,Richardson,,,,,16,0,,0,,2018,,0,
Special Ed,57828,Winfree Academy Charter Schools,57,Dallas County,10,Richardson,,,,,<50,<25,,<25,,2018,,<25,
Not Special Ed,57828,Winfree Academy Charter Schools,57,Dallas County,10,Richardson,486.0,,,1009.0,<325,<25,7.8,<25,4.2,2018,523.0,<25,29.2
Missing Special Ed,57828,Winfree Academy Charter Schools,57,Dallas County,10,Richardson,,,,,16,0,,0,,2018,,0,
Title1,57828,Winfree Academy Charter Schools,57,Dallas County,10,Richardson,485.0,,,1001.0,<325,<25,7.1,<25,4.5,2018,516.0,<25,31.8
Not Title1,57828,Winfree Academy Charter Schools,57,Dallas County,10,Richardson,495.0,,,1100.0,<50,<25,8.0,<25,,2018,605.0,<25,
Missing Title1,57828,Winfree Academy Charter Schools,57,Dallas County,10,Richardson,,,,,16,0,,0,,2018,,0,
At-Risk,57828,Winfree Academy Charter Schools,57,Dallas County,10,Richardson,493.0,,,1017.0,<250,<25,8.7,<25,5.0,2018,524.0,<25,30.0
Not At-Risk,57828,Winfree Academy Charter Schools,57,Dallas County,10,Richardson,,,,,<125,<25,1.0,<25,,2018,,<25,
Missing At-Risk,57828,Winfree Academy Charter Schools,57,Dallas County,10,Richardson,483.0,,,1017.0,17,3,,0,,2018,533.0,1,33.3
English Learner,57828,Winfree Academy Charter Schools,57,Dallas County,10,Richardson,,,,,<50,<25,,<25,,2018,,<25,
Not English Learner,57828,Winfree Academy Charter Schools,57,Dallas County,10,Richardson,486.0,,,1009.0,<325,<25,8.0,<25,4.2,2018,523.0,<25,29.2
Missing English Learner,57828,Winfree Academy Charter Schools,57,Dallas County,10,Richardson,,,,,16,0,,0,,2018,,0,
Immigrant,57828,Winfree Academy Charter Schools,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2018,,<25,
Not Immigrant,57828,Winfree Academy Charter Schools,57,Dallas County,10,Richardson,486.0,,,1008.0,<350,<25,6.3,<25,4.8,2018,522.0,<25,28.6
Missing Immigrant,57828,Winfree Academy Charter Schools,57,Dallas County,10,Richardson,483.0,,,1017.0,17,3,,0,,2018,533.0,1,33.3
Migrant,57828,Winfree Academy Charter Schools,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2018,,<25,
Not Migrant,57828,Winfree Academy Charter Schools,57,Dallas County,10,Richardson,486.0,,,1009.0,<350,<25,7.2,<25,4.2,2018,523.0,<25,29.2
Missing Migrant,57828,Winfree Academy Charter Schools,57,Dallas County,10,Richardson,,,,,16,0,,0,,2018,,0,
Dyslexia,57828,Winfree Academy Charter Schools,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2018,,<25,
Not Dyslexia,57828,Winfree Academy Charter Schools,57,Dallas County,10,Richardson,486.0,,,1008.0,<350,<25,6.3,<25,4.8,2018,522.0,<25,28.6
Missing Dyslexia,57828,Winfree Academy Charter Schools,57,Dallas County,10,Richardson,483.0,,,1017.0,17,3,,0,,2018,533.0,1,33.3
Homeless,57828,Winfree Academy Charter Schools,57,Dallas County,10,Richardson,,,,,<25,<25,9.1,<25,,2018,,<25,
Not Homeless,57828,Winfree Academy Charter Schools,57,Dallas County,10,Richardson,486.0,,,1010.0,<325,<25,7.1,<25,4.3,2018,523.0,<25,30.4
Missing Homeless,57828,Winfree Academy Charter Schools,57,Dallas County,10,Richardson,,,,,17,0,,0,,2018,,0,
Foster Care,57828,Winfree Academy Charter Schools,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2018,,<25,
Not Foster Care,57828,Winfree Academy Charter Schools,57,Dallas County,10,Richardson,486.0,,,1009.0,<350,<25,7.2,<25,4.2,2018,523.0,<25,29.2
Missing Foster Care,57828,Winfree Academy Charter Schools,57,Dallas County,10,Richardson,,,,,16,0,,0,,2018,,0,
Military-Connected,57828,Winfree Academy Charter Schools,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2018,,<25,
Not Military-Connected,57828,Winfree Academy Charter Schools,57,Dallas County,10,Richardson,486.0,,,1009.0,<350,<25,7.2,<25,4.2,2018,523.0,<25,29.2
Missing Military-Connected,57828,Winfree Academy Charter Schools,57,Dallas County,10,Richardson,,,,,16,0,,0,,2018,,0,
All Students,57829,A+ Academy,57,Dallas County,10,Richardson,461.0,,,927.0,<75,<75,85.7,<25,1.7,2018,467.0,<25,13.3
African American,57829,A+ Academy,57,Dallas County,10,Richardson,360.0,,,720.0,<25,<25,100.0,<25,,2018,360.0,<25,
American Indian,57829,A+ Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2018,,<25,
Asian,57829,A+ Academy,57,Dallas County,10,Richardson,,,,,<25,<25,,<25,,2018,,<25,
Hispanic,57829,A+ Academy,57,Dallas County,10,Richardson,465.0,,,936.0,<75,<75,84.6,<25,1.8,2018,471.0,<25,14.5
